name,chi2,chi2_reduced,n_points,max_radius_kpc,max_velocity,rms_residual,success,ML_disk,ML_bulge,gas_factor,h_scale,has_bulge
NGC5371,,,19,46.24,242.0,,False,,,,,
UGC07603,,,12,4.11,64.0,,False,,,,,
NGC4138,,,7,18.58,195.0,,False,,,,,
UGC12632,,,15,10.66,73.2,,False,,,,,
NGC5033,1768.9068690211643,80.40485768278019,22,44.59,225.0,53.004600485249675,True,0.3,0.3,1.25,490.5899056792259,True
UGC02023,,,5,3.78,58.8,,False,,,,,
UGC09133,13806.888769901874,203.04248191032167,68,108.31,289.0,99.88971193383026,True,0.3,0.3,1.25,490.5899056792259,True
UGCA442,,,8,6.33,57.8,,False,,,,,
UGC04305,,,22,5.52,37.3,,False,,,,,
NGC2841,2110.375293167562,42.207505863351244,50,63.64,323.0,57.96113441350194,True,1.0,0.9,1.25,100.0,True
NGC2955,1040.571707940809,43.357154497533706,24,35.43,276.0,48.94592889604235,True,0.3,0.3,1.25,561.5015459060669,True
NGC4157,356.6634700230579,20.980204119003407,17,29.61,201.0,20.895383501188594,True,0.3,0.3,1.25,575.9791204172188,True
NGC4183,,,23,21.02,115.0,,False,,,,,
UGC07125,,,13,18.68,65.6,,False,,,,,
UGC03205,519.1494823679193,10.815614215998318,48,40.04,237.0,20.439935167829386,True,0.3713836587343422,0.3,1.25,254.03387025230495,True
F583-1,,,25,16.26,86.9,,False,,,,,
NGC4068,,,6,2.33,41.9,,False,,,,,
UGC02885,551.778173185991,29.040956483473213,19,74.07,305.0,47.35877929058831,True,0.3,0.9,1.25,291.9432306289673,True
D564-8,,,6,3.07,25.0,,False,,,,,
NGC4013,2758.207955060129,76.61688764055913,36,31.01,198.0,46.876844334882406,True,0.3950484794378401,0.9,1.25,234.68189899269368,True
UGC07323,,,10,5.82,85.6,,False,,,,,
NGC3953,,,8,15.68,224.0,,False,,,,,
NGC4559,,,32,20.97,124.0,,False,,,,,
NGC6015,,,44,29.23,166.0,,False,,,,,
UGC05253,4105.401030862273,56.23837028578456,73,53.29,248.0,50.87520600966951,True,0.3,0.3,1.25,600.0,True
UGC12506,,,31,49.99,255.0,,False,,,,,
NGC2998,,,13,42.28,214.0,,False,,,,,
UGC00731,,,12,10.91,74.0,,False,,,,,
F583-4,,,12,7.29,69.9,,False,,,,,
UGC06614,3812.581982698326,293.2755371306405,13,64.59,205.0,98.74818545781547,True,0.3,0.3,1.25,476.4668306708336,True
NGC0024,,,29,11.27,110.0,,False,,,,,
DDO168,,,10,4.12,55.0,,False,,,,,
UGC05750,,,11,22.85,78.9,,False,,,,,
UGC05005,,,11,28.61,100.0,,False,,,,,
NGC3893,,,10,19.05,194.0,,False,,,,,
UGC12732,,,16,15.4,98.0,,False,,,,,
UGC06818,,,8,6.98,74.4,,False,,,,,
IC4202,4502.366415016589,140.6989504692684,32,25.9,250.0,31.65794093618233,True,0.3,0.3,1.25,100.0,True
UGC00128,,,22,53.75,134.0,,False,,,,,
D631-7,,,16,7.19,58.5,,False,,,,,
F568-V1,,,15,17.63,118.0,,False,,,,,
UGC06667,,,9,7.85,85.7,,False,,,,,
UGC05918,,,8,4.46,44.5,,False,,,,,
UGC02487,1602.684143244762,94.27553783792717,17,80.38,383.0,106.4582599860487,True,1.0,0.9,1.25,339.7085666656494,True
UGC05999,,,5,16.22,100.0,,False,,,,,
F568-1,,,12,13.23,142.0,,False,,,,,
NGC2976,,,27,2.27,88.7,,False,,,,,
NGC3917,,,17,14.86,138.0,,False,,,,,
F571-V1,,,7,13.59,84.3,,False,,,,,
NGC3972,,,10,8.72,134.0,,False,,,,,
NGC0801,,,13,59.82,238.0,,False,,,,,
NGC6946,927.1915242462319,15.986060762866067,58,20.4,181.0,18.61581682417847,True,0.3,0.40185481839403997,1.25,544.1508176087287,True
F563-V2,,,10,10.47,118.0,,False,,,,,
UGC02953,2249.6792598509646,19.562428346530126,115,62.39,319.0,34.548821706476474,True,0.3,0.3,1.25,600.0,True
F567-2,,,5,9.59,52.2,,False,,,,,
NGC7331,,,36,36.31,257.0,,False,,,,,
NGC5907,,,19,50.33,235.0,,False,,,,,
NGC3726,,,12,32.52,169.0,,False,,,,,
NGC3198,,,43,44.08,157.0,,False,,,,,
NGC0891,142.6020875373588,7.922338196519934,18,17.11,234.0,18.174213430771037,True,0.3,0.3,1.25,600.0,True
NGC0100,,,21,9.62,91.2,,False,,,,,
NGC4217,9302.814398933506,489.6218104701845,19,16.72,191.0,86.27460843337309,True,0.3,0.3,1.25,364.83479373157024,True
UGC09992,,,5,3.89,34.3,,False,,,,,
UGC06786,299.631126310868,6.658469473574844,45,34.05,229.0,15.959259521857975,True,0.41734194488998577,0.3,1.25,564.1357655331531,True
UGC06917,,,11,10.47,111.0,,False,,,,,
ESO563-G021,,,30,42.41,321.0,,False,,,,,
NGC4100,,,24,22.76,195.0,,False,,,,,
NGC3877,,,13,11.35,171.0,,False,,,,,
UGC00191,,,9,9.98,83.85,,False,,,,,
NGC3741,,,21,7.0,51.6,,False,,,,,
NGC0247,,,26,14.54,108.0,,False,,,,,
F563-1,,,17,20.1,112.5,,False,,,,,
F574-2,,,5,10.83,40.0,,False,,,,,
UGC06399,,,9,7.85,87.6,,False,,,,,
UGC11820,,,10,15.82,84.45,,False,,,,,
F568-3,,,18,17.98,120.0,,False,,,,,
UGC07524,,,31,10.69,83.8,,False,,,,,
UGC02259,,,8,8.14,90.0,,False,,,,,
UGC05721,,,23,6.74,82.6,,False,,,,,
UGC05716,,,12,12.37,74.7,,False,,,,,
UGC07151,,,11,5.5,76.2,,False,,,,,
UGC04483,,,8,1.21,24.3,,False,,,,,
NGC1003,,,36,30.24,115.0,,False,,,,,
UGC03546,1206.971355291024,40.2323785097008,30,29.23,262.0,39.51080238781308,True,0.3,0.9,1.25,599.921135880473,True
NGC0055,,,21,13.5,87.4,,False,,,,,
NGC1090,,,24,30.09,176.0,,False,,,,,
UGC06973,182.60765004426418,20.28973889380713,9,7.85,180.0,23.275839057743003,True,0.4075344986575436,0.3,1.39999999999996,539.6058252109194,True
F574-1,,,14,12.6,99.7,,False,,,,,
NGC3769,,,12,37.16,126.0,,False,,,,,
NGC2403,,,73,20.87,136.0,,False,,,,,
UGC03580,9408.770653192185,200.1866096423869,47,27.06,131.0,37.56018733860888,True,0.3,0.3,1.25,562.1207284927368,True
ESO444-G084,,,7,4.44,63.1,,False,,,,,
UGC11557,,,12,10.56,85.0,,False,,,,,
UGC08490,,,30,10.15,80.1,,False,,,,,
UGC01230,,,11,36.54,113.0,,False,,,,,
UGC08550,,,11,5.36,57.8,,False,,,,,
F561-1,,,6,9.66,50.4,,False,,,,,
UGC07559,,,7,2.53,32.1,,False,,,,,
NGC4389,,,6,5.32,110.0,,False,,,,,
NGC2915,,,30,10.04,86.5,,False,,,,,
NGC5055,,,28,54.59,206.0,,False,,,,,
UGC07399,,,10,6.13,106.0,,False,,,,,
F565-V2,,,7,8.8,83.1,,False,,,,,
NGC3992,,,9,46.02,272.0,,False,,,,,
NGC6503,,,31,23.5,121.0,,False,,,,,
PGC51017,,,6,3.63,20.5,,False,,,,,
NGC1705,,,14,6.0,73.2,,False,,,,,
ESO079-G014,,,15,16.67,178.0,,False,,,,,
F563-V1,,,6,7.87,29.5,,False,,,,,
NGC6195,2214.136108074829,96.26678730760125,23,36.43,258.0,72.40981135996054,True,0.3,0.3,1.25,561.5015459060669,True
DDO161,,,31,13.37,67.5,,False,,,,,
UGC07577,,,9,1.69,17.8,,False,,,,,
UGC04499,,,9,8.18,74.3,,False,,,,,
NGC5005,52.70275276731517,2.9279307092952873,18,11.47,265.0,12.131014165790516,True,0.3,0.3,1.3502314929861572,599.4208276617671,True
UGC10310,,,7,7.74,73.2,,False,,,,,
NGC0300,,,25,11.8,97.0,,False,,,,,
UGC06446,,,17,10.22,84.9,,False,,,,,
NGC5985,854.609175629522,25.89724774634915,33,34.72,305.0,39.79360703704298,True,1.0,0.9,1.4,100.0,True
DDO064,,,14,2.98,46.9,,False,,,,,
DDO170,,,8,12.33,62.2,,False,,,,,
UGC09037,,,22,27.96,160.0,,False,,,,,
UGC11914,201.69895514029946,3.1030608483122992,65,9.83,305.0,11.721759460362662,True,0.46786479009579945,0.3,1.25,454.21448652836284,True
NGC0289,,,28,71.12,194.0,,False,,,,,
UGC06923,,,6,5.16,81.1,,False,,,,,
NGC7793,,,46,7.87,116.0,,False,,,,,
NGC4214,,,14,5.63,80.6,,False,,,,,
UGC05764,,,10,3.62,55.8,,False,,,,,
UGC04278,,,25,6.69,92.8,,False,,,,,
UGC05829,,,11,6.91,68.6,,False,,,,,
UGC08837,,,8,4.2,48.0,,False,,,,,
UGC04325,,,8,5.59,92.7,,False,,,,,
NGC3521,,,41,17.74,220.0,,False,,,,,
UGC07866,,,7,2.32,33.1,,False,,,,,
UGC08286,,,17,8.04,84.3,,False,,,,,
NGC4010,,,12,10.47,129.0,,False,,,,,
NGC2683,,,11,34.62,212.0,,False,,,,,
UGC07261,,,7,6.67,76.1,,False,,,,,
UGC07608,,,8,4.78,69.3,,False,,,,,
IC2574,,,34,10.23,67.5,,False,,,,,
UGCA444,,,36,2.62,38.3,,False,,,,,
UGC00891,,,5,7.39,63.75,,False,,,,,
UGC06983,,,17,15.68,113.0,,False,,,,,
UGC05986,,,15,9.41,116.0,,False,,,,,
UGC06930,,,10,16.61,109.0,,False,,,,,
ESO116-G012,,,15,9.86,112.0,,False,,,,,
NGC5585,,,24,10.96,92.3,,False,,,,,
NGC6674,900.0983596236388,60.006557308242584,15,72.41,291.0,56.87721086118215,True,0.5453173782560774,0.9,1.25,254.40019315967697,True
NGC3109,,,25,6.45,67.3,,False,,,,,
F571-8,,,13,15.55,144.0,,False,,,,,
DDO154,,,12,5.92,48.2,,False,,,,,
NGC4051,,,7,12.19,161.0,,False,,,,,
UGC11455,,,36,41.93,291.0,,False,,,,,
UGC06628,,,7,7.69,42.3,,False,,,,,
F579-V1,,,14,15.16,114.0,,False,,,,,
UGC08699,459.55921610976566,11.208761368530869,41,25.7,202.0,18.035814261450223,True,0.3,0.3,1.25,588.8832355531786,True
NGC4085,,,7,6.2,136.0,,False,,,,,
UGC07089,,,12,9.16,79.1,,False,,,,,
KK98-251,,,15,3.13,34.6,,False,,,,,
UGC02455,,,8,4.03,61.0,,False,,,,,
UGCA281,,,7,1.08,29.5,,False,,,,,
CamB,,,9,1.79,20.1,,False,,,,,
NGC3949,,,7,7.07,169.0,,False,,,,,
NGC7814,482.5529019251819,26.808494551398994,18,19.53,265.0,34.21166644576916,True,0.3,0.35860161629203724,1.25,538.9161394409938,True
UGC02916,5599.03618199493,130.21014376732396,43,38.0,218.0,68.63012176077926,True,0.3,0.3,1.25,460.18104767390855,True
UGC01281,,,25,4.99,56.9,,False,,,,,
NGC2903,,,34,24.96,216.0,,False,,,,,
NGC4088,,,12,21.48,182.0,,False,,,,,
UGC05414,,,6,4.11,61.4,,False,,,,,
UGC06787,1479.002294030541,20.831018225782266,71,37.19,276.0,29.716112018445223,True,0.3,0.3,1.25,364.83479373157024,True
UGC07690,,,7,4.13,60.7,,False,,,,,
NGC2366,,,26,6.06,53.7,,False,,,,,
